ID,Date,station,depth_m,temp_c,do_mg_l,chl_a_ug_l,pH,turb_ntu,cond_uS,,Filename,Time_approx,,
156,7/14/2023,DTFB,89.44,5.33,8.68,2.01,7.69,266.4*,,,DTFB20230714TT,12:45,No time recorded so time is very approximate.Ê,
157,7/14/2023,DTFB,80.42,5.39,8.96,1.83,7.72,266.1*,,,DTFB20230714TT,12:45,No time recorded so time is very approximate.Ê,
158,7/14/2023,DTFB,70.62,5.49,8.82,2.23,7.73,266.2*,,,DTFB20230714TT,12:45,No time recorded so time is very approximate.Ê,
159,7/14/2023,DTFB,60.56,5.56,9.4,2.51,7.69,266.1*,,,DTFB20230714TT,12:45,No time recorded so time is very approximate.Ê,
160,7/14/2023,DTFB,50.43,5.66,8.57,2.45,7.72,266.1*,,,DTFB20230714TT,12:45,No time recorded so time is very approximate.Ê,
161,7/14/2023,DTTR,0,21.23,9.05,1,8.31,264.2*,35.7,Y,DTTR20230714,15:00,No time recorded so time is very approximate.Ê,
162,7/14/2023,BCTR,0,13,10.72,14.08,7.8,269.9*,35.2,Y,BCTR20230714,15:45,No time recorded so time is very approximate.Ê,
163,7/17/2023,BVFB,0,21.56,6.05,11.71,7.73,263.2*,122.9,Y,BVFB20230717,9:20,No time recorded so time is very approximate.Ê,
164,7/17/2023,BVTR,0,21.57,6.36,17.42,7.78,238.8*,122.6,Y,BVTR20230717,11:25,No time recorded so time is very approximate.Ê,
165,7/19/2023,DLFB,0,21.94,6.79,6.37,7.69,272.8*,125.5,Y,DLFB20230719,10:10,No time recorded so time is very approximate.Ê,
166,7/19/2023,DLTR,0,22.04,7.35,7.19,7.98,270.3*,125.7,Y,DLTR20230719,12:35,No time recorded so time is very approximate.Ê,
168,8/7/2023,BVFB,0,21.61,7.86,1.65,7.54,261*,130,Y,BVFB20230807,10:33,,
169,8/10/2023,DTFB,0,20.63,6.74,0.45,7.17,263.8*,38.5,Y,DTFB20230810,10:19,,
170,8/10/2023,DTFB,48.31,6.2,8.46,0.47,6.78,263.7*,36.3,Y,DTFB20230810,11:22,,
171,8/10/2023,DTFB,40.15,6.69,6.7,0.47,6.75,265.6*,35.4,Y,DTFB20230810,11:24,,
172,8/10/2023,DTFB,30.3,9.23,6.29,0.66,7.65,265.6*,31.1,Y,DTFB20230810,11:27,,
173,8/10/2023,DTFB,20.12,13.91,5.3,2.18,6.5,514.0*,36.2,Y,DTFB20230810,11:30,,
174,8/10/2023,DTFB,15.04,16.31,6.38,4.01,6.63,268.1*,38.5,Y,DTFB20230810,11:32,,
175,8/10/2023,DTFB,10.17,18.65,6.55,2.27,6.79,296.4*,39.4,Y,DTFB20230810,11:34,,
176,8/10/2023,DTFB,5.08,20.02,5.81,0.96,6.98,360.4*,39.2,Y,DTFB20230810,11:36,,
177,8/10/2023,DTFB,81.37,5.56,5.44,0.32,6.95,266.3*,,Y,DTFB20230810TT,,,
178,8/10/2023,DTFB,71.14,5.59,5.48,0.3,6.97,265.8*,,Y,DTFB20230810TT,,,
179,8/10/2023,DTFB,61.02,5.74,5.49,0.4,6.96,265.8*,,Y,DTFB20230810TT,,,
180,8/10/2023,DTFB,50.73,6.03,5.38,0.4,6.94,265.9*,,Y,DTFB20230810TT,,,
182,9/11/2023,BVFB,0,20.28,8.11,8.8,7.5,265.3*,134.9,Y,BVFB20230911,8:49,,
183,9/11/2023,BVTR,0,20.32,8.03,5.98,7.76,1051.0*,135.2,Y,BVTR20230911,12:24,,
184,9/12/2023,DLFB,0,20.45,6.72,3.92,7.46,267.4*,138.6,Y,DLFB20230912,11:24,,
185,9/12/2023,DLTR,0,20.58,6.14,3.99,7.61,270.5*,138.7,Y,DLTR20230912,13:14,,
186,9/14/2023,CGFB,0,18.02,8.33,0.77,7.04,263.6*,49.1,Y,CGFB20230914,9:21,,
187,9/14/2023,CGFB,48.77,4.82,9.49,0.39,7.65,2415.0*,40.4,Y,CGFB20230914,10:18,,
188,9/14/2023,CGFB,40.07,4.94,8.33,0.38,7.78,2541.0*,39.3,Y,CGFB20230914,10:20,,
189,9/14/2023,CGFB,30.25,5.2,7.97,0.56,7.5,2633.0*,38,Y,CGFB20230914,10:24,,
